source,table,series,period,value
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1960,1.0
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1960,1.0
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1960,1.0
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1960,1.0
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1960,0.315
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1960,0.629
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1961,1.07
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1961,1.09
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1961,1.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1961,1.01
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1961,0.301
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1961,0.619
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1962,1.13
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1962,1.18
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1962,1.07
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1962,1.15
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1962,0.299
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1962,0.603
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1963,1.17
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1963,1.28
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1963,1.12
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1963,1.28
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1963,0.301
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1963,0.577
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1964,1.28
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1964,1.39
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1964,1.21
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1964,1.34
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1964,0.297
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1964,0.58
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1965,1.37
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1965,1.51
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1965,1.29
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1965,1.37
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1965,0.297
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1965,0.572
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1966,1.48
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1966,1.61
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1966,1.38
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1966,1.46
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1966,0.294
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1966,0.579
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1967,1.61
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1967,1.72
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1967,1.49
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1967,1.58
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1967,0.292
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1967,0.589
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1968,1.74
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1968,1.84
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1968,1.62
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1968,1.64
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1968,0.293
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1968,0.595
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1969,1.83
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1969,1.98
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1969,1.67
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1969,1.79
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1969,0.288
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1969,0.581
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1970,1.99
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1970,2.14
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1970,1.87
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1970,2.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1970,0.296
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1970,0.585
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1971,2.1
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1971,2.31
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1971,2.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1971,2.16
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1971,0.304
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1971,0.571
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1972,2.17
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1972,2.5
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1972,2.17
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1972,2.25
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1972,0.316
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1972,0.546
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1973,2.38
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1973,2.69
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1973,2.27
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1973,2.47
